Itemset,Support,Count,ItemNames
"277",0.004197,143,"277 "Great English Muffins"
"1352",0.004109,140,"1352 "Carrington Ice Cream"
"846",0.004050,138,"846 "Nationeel Fudge Brownies"
"865",0.004050,138,"865 "Nationeel Dried Apples"
"319",0.004021,137,"319 "Excellent Orange Juice"
"827",0.004021,137,"827 "Ebony Mixed Nuts"
"1297",0.004021,137,"1297 "Booker String Cheese"
"440",0.003992,136,"440 "Steady Childrens Cold Remedy"
"382",0.003962,135,"382 "Moms Roasted Chicken"
"274",0.003933,134,"274 "Great Pumpernickel Bread"
"284",0.003933,134,"284 "Super Chunky Peanut Butter"
"342",0.003904,133,"342 "Better Canned Tuna in Oil"
"872",0.003874,132,"872 "Nationeel Golden Raisins"
"1413",0.003874,132,"1413 "Gerolli Extra Lean Hamburger"
"373",0.003845,131,"373 "Carlson Blueberry Yogurt"
"820",0.003845,131,"820 "Ebony Red Delcious Apples"
"877",0.003845,131,"877 "Thresher Malted Milk Balls"
"1345",0.003816,130,"1345 "Carrington Turkey TV Dinner"
"386",0.003816,130,"386 "Moms Potato Salad"
"1397",0.003816,130,"1397 "Sunset Paper Towels"
"1252",0.003786,129,"1252 "Skinner Strawberry Drink"
"325",0.003786,129,"325 "Best Wheat Puffs"
"333",0.003786,129,"333 "Better Canned Tomatos"
"1308",0.003757,128,"1308 "Booker 1% Milk"
"376",0.003757,128,"376 "Moms Beef Bologna"
"309",0.003757,128,"309 "Super Extra Chunky Peanut Butter"
"345",0.003757,128,"345 "Better Fancy Canned Clams"
"368",0.003757,128,"368 "Carlson Buttermilk"
"1133",0.003757,128,"1133 "Tri-State Almonds"
"1380",0.003757,128,"1380 "Hilltop Mint Mouthwash"
"502",0.003757,128,"502 "Tell Tale Fresh Lima Beans"
"340",0.003757,128,"340 "Better Chicken Ramen Soup"
"1388",0.003757,128,"1388 "Sunset Paper Plates"
"351",0.003757,128,"351 "ADJ Rosy Sunglasses"
"1525",0.003757,128,"1525 "Modell Rye Bread"
"330",0.003728,127,"330 "Better Chicken Soup"
"356",0.003728,127,"356 "Carlson Sour Cream"
"269",0.003728,127,"269 "Good Chablis Wine"
"336",0.003728,127,"336 "Better Chicken Noodle Soup"
"1440",0.003728,127,"1440 "Hermanos Fresh Lima Beans"
"300",0.003728,127,"300 "Super Salt"
"352",0.003728,127,"352 "Black Tie Eyeglass Screwdriver"
"361",0.003728,127,"361 "Carlson Havarti Cheese"
"232",0.003728,127,"232 "Best Choice Salsa Dip"
"1428",0.003698,126,"1428 "Hermanos Green Pepper"
"248",0.003698,126,"248 "Best Choice Dried Dates"
"964",0.003698,126,"964 "Just Right Turkey Noodle Soup"
"1431",0.003698,126,"1431 "Hermanos Elephant Garlic"
"913",0.003698,126,"913 "BBB Best Brown Sugar"
"426",0.003698,126,"426 "Steady Whitening Toothpast"
"884",0.003698,126,"884 "Monarch Manicotti"
"287",0.003698,126,"287 "Super White Sugar"
"323",0.003698,126,"323 "Best Oatmeal"
"1362",0.003669,125,"1362 "Hilltop Silky Smooth Hair Conditioner"
"360",0.003669,125,"360 "Carlson Low Fat String Cheese"
"435",0.003669,125,"435 "Steady 200 MG Ibuprofen"
"729",0.003669,125,"729 "Imagine Frozen Corn"
"1434",0.003669,125,"1434 "Hermanos Potatos"
"878",0.003669,125,"878 "Thresher Semi-Sweet Chocolate Bar"
"297",0.003669,125,"297 "Super Strawberry Jelly"
"282",0.003669,125,"282 "Great Wheat Bread"
"408",0.003669,125,"408 "Big Time Chicken TV Dinner"
"403",0.003640,124,"403 "Big Time Frozen Cheese Pizza"
"751",0.003640,124,"751 "Consolidated Childrens Cold Remedy"
"1180",0.003640,124,"1180 "Horatio Frosted Cookies"
"1557",0.003640,124,"1557 "CDR Strawberry Preserves"
"239",0.003640,124,"239 "Best Choice Chocolate Donuts"
"1360",0.003640,124,"1360 "Carrington Frozen Chicken Wings"
"444",0.003640,124,"444 "Red Wing Plastic Forks"
"436",0.003640,124,"436 "Steady 200 MG Acetominifen"
"999",0.003640,124,"999 "Even Better Strawberry Yogurt"
"1445",0.003640,124,"1445 "Hermanos Macintosh Apples"
"175",0.003640,124,"175 "High Top New Potatos"
"899",0.003640,124,"899 "Pearl White Zinfandel Wine"
"1191",0.003640,124,"1191 "Musial Tasty Candy Bar"
"813",0.003640,124,"813 "Ebony Fresh Lima Beans"
"1195",0.003640,124,"1195 "Musial Bubble Gum"
"868",0.003640,124,"868 "Nationeel Raspberry Fruit Roll"
"533",0.003640,124,"533 "Fast Chocolate Chip Cookies"
"1451",0.003610,123,"1451 "Hermanos Peaches"
"231",0.003610,123,"231 "Best Choice Low Fat Popcorn"
"571",0.003610,123,"571 "Atomic White Chocolate Bar"
"500",0.003610,123,"500 "Tell Tale Baby Onion"
"457",0.003610,123,"457 "Red Wing AA-Size Batteries"
"463",0.003610,123,"463 "Red Wing Tissues"
"801",0.003610,123,"801 "Ebony Green Pepper"
"867",0.003610,123,"867 "Nationeel Strawberry Fruit Roll"
"1343",0.003610,123,"1343 "Carrington Apple Cinnamon Waffles"
"855",0.003610,123,"855 "Nationeel Avocado Dip"
"172",0.003610,123,"172 "High Top Corn on the Cob"
"714",0.003610,123,"714 "Imagine Frozen Cheese Pizza"
"1540",0.003610,123,"1540 "CDR Vegetable Oil"
"655",0.003610,123,"655 "Bravo Fancy Canned Anchovies"
"887",0.003610,123,"887 "Monarch Rice Medly"
